new_who_as_id,file_name,old_who,new_who,old_parliamentary_group,new_parliamentary_group,old_role,new_role,old_position,new_position,additional_whitespace,changed_name,changed_parliamentary_group,changed_role,changed_position,substatial_modification
Miessner,BT_01_007.xml,Mießner,Miessner,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_007.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_011.xml,"Müller, Oskar",Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hannover),BT_01_011.xml,"Müller, Kurt",Müller (Hannover),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_012.xml,"Müller, Oskar",Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_012.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_019.xml,"Müller, Oskar",Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmidt (Bayern),BT_01_022.xml,Wilhelm Schmidt ,Schmidt (Bayern),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Oellers,BT_01_024.xml,Oellers ,Oellers,FPD,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_027.xml,Oskar Willer ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hannover),BT_01_028.xml,Kurt Müller ,Müller (Hannover),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_033.xml,Oskar Müller ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Paul (Württemberg),BT_01_033.xml,Paul (Württemberg). ,Paul (Württemberg),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_033.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Meyer (Hagen),BT_01_033.xml,Meyer (Westfalen) ,Meyer (Hagen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Hoffmann (Schönau),BT_01_040.xml,Hoffmann ,Hoffmann (Schönau),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmid,BT_01_044.xml,Sc,Schmid,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_047.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_048.xml,Oskar Müller ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_049.xml,Heinrich Müller (Usingen) ,Müller (Hessen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_049.xml,Heinrich Müller (Usjngen) ,Müller (Hessen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_050.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Clausen,BT_01_051.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_061.xml,Müller (Offenbach) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_065.xml,Müller (Hessen) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_068.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Hoffmann (Schönau),BT_01_079.xml,Hoffmann ,Hoffmann (Schönau),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_080.xml,Schrader (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmid,BT_01_080.xml,Schmu,Schmid,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Etzel (Duisburg),BT_01_091.xml,Eitel (Duisburg) ,Etzel (Duisburg),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_091.xml,Müller (Offenbach) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Miessner,BT_01_092.xml,Mießner,Miessner,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_092.xml,Müller (Offenbach) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Kohl (Stuttgart),BT_01_093.xml,Kehl (Stuttgart) ,Kohl (Stuttgart),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Bonn),BT_01_096.xml,Müller. (Bonn) ,Müller (Bonn),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_098.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Clausen,BT_01_104.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Sassnick,BT_01_105.xml,Saßnick ,Sassnick,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Bleiß,BT_01_105.xml,Weiß ,Bleiß,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_105.xml,Dr. schröder (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_106.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Kurlbaum,BT_01_107.xml,Kurlbaum . ,Kurlbaum,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_117.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_119.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_120.xml,Willer (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_122.xml,Miller (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_129.xml,MÜller (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_129.xml,Schrader (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_129.xml,Maler (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_130.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_131.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Ehren,BT_01_131.xml,Ehren . ,Ehren,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_132.xml,Schräder (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Fröhlich,BT_01_132.xml,Fröhlich ,Fröhlich,EHE-DG,BHE-DG,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Fröhlich,BT_01_134.xml,Fröhlich ,Fröhlich,EHE-DG,BHE-DG,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Clausen,BT_01_136.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Richter,BT_01_136.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_139.xml,Schrader (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_145.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_147.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_148.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Pfleiderer,BT_01_149.xml,Pfleiderer ,Pfleiderer,FPD,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Preusker,BT_01_151.xml,Preusker ,Preusker,FPD,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Höpker-Aschoff,BT_01_152.xml,Höpker-Aschoff ,Höpker-Aschoff,FPD,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Hoffmann (Schönau),BT_01_152.xml,Hoffmann ,Hoffmann (Schönau),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_154.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_158.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Freudenberg,BT_01_160.xml,Freudenberg ,Freudenberg,"FDP,",FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_160.xml,Millier (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_160.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Mende,BT_01_160.xml,Mende . ,Mende,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_160.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter,BT_01_161.xml,Richter (Niedersachsen) ,Richter,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Reif,BT_01_164.xml,Reif ,Reif,FPD,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Bonn),BT_01_171.xml,Miller (Bonn) ,Müller (Bonn),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmid,BT_01_180.xml,Schmidt,Schmid,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_187.xml,Müller: (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Richter (Niedersachsen),BT_01_191.xml,Richter: (Niedersachsen) ,Richter (Niedersachsen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Bonn),BT_01_203.xml,Miller (Bonn) ,Müller (Bonn),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Becker (Hersfeld),BT_01_205.xml,Pecker (Hersfeld) ,Becker (Hersfeld),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Lücke,BT_01_209.xml,Linke ,Lücke,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Becker (Hersfeld),BT_01_213.xml,Becker (Hersfeld). ,Becker (Hersfeld),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Doris,BT_01_215.xml,Doris ,Doris,Fraktionsios,Fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Böhm,BT_01_219.xml,Lähm ,Böhm,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_220.xml,Muller (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_220.xml,Miller (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Etzel (Bamberg),BT_01_220.xml,Eizel (Bamberg) ,Etzel (Bamberg),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_222.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Fröhlich,BT_01_222.xml,Fröhlich ,Fröhlich,Frakionslos,Fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Paul (Düsseldorf),BT_01_225.xml,Paul ' (Düsseldorf) ,Paul (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Probst,BT_01_225.xml,Dr. 'Probst ,Probst,CDU,CSU,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Kohl (Stuttgart),BT_01_228.xml,Kehl (Stuttgart) ,Kohl (Stuttgart),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Probst,BT_01_233.xml,Probst ,Probst,CDU,CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Bonn),BT_01_233.xml,Willer (Bonn) ,Müller (Bonn),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Probst,BT_01_236.xml,Probst ,Probst,CDU,CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Probst,BT_01_239.xml,Probst ,Probst,CDU,CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_242.xml,Schrader (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Rademacher,BT_01_243.xml,Rademacher ,Rademacher,FDP.,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_244.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_246.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Schmid,BT_01_248.xml,Schmidt,Schmid,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Bonn),BT_01_250.xml,Miller (Bonn) ,Müller (Bonn),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Probst,BT_01_251.xml,Probst ,Probst,CDU,CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_256.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Probst,BT_01_257.xml,Probst ,Probst,CDU,CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Becker (Hersfeld),BT_01_257.xml,Becker . (Hersfeld) ,Becker (Hersfeld),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_258.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Paul (Düsseldorf),BT_01_258.xml,Paul (Düsseldorf ,Paul (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_268.xml,Millier (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_271.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Probst,BT_01_271.xml,Probst ,Probst,CDU,CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Blank (Oberhausen),BT_01_275.xml,Blank (Oberhausen) ,Blank (Oberhausen),CDU,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_276.xml,Müller,Müller (Hessen),Hessen,SPD,-,-,-,-,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
von Thadden,BT_01_276.xml,von Thadden ,von Thadden,Fraktionsios,Fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_276.xml,Müller Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_276.xml,Miller (Frankfurt) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_276.xml,Müller ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
﻿Weber (Essen),BT_02_015.xml,Weber (Aachen) ,﻿Weber (Essen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
﻿Weber (Essen),BT_02_018.xml,Weber (Aachen) ,﻿Weber (Essen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
D. Dr. Ehlers,BT_02_024.xml,D,D. Dr. Ehlers,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmidt (Hamburg),BT_02_035.xml,Schmidt: (Hamburg) ,Schmidt (Hamburg),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
D. Dr. Ehlers,BT_02_045.xml,D. Dr.. Ehlers,D. Dr. Ehlers,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Starke,BT_02_051.xml,Starke ,Starke,CDU/CSU,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_055.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_056.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_058.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_059.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_060.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_061.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_062.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_063.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_064.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_067.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_069.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_070.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_071.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
﻿Koenen (Lippstadt),BT_02_071.xml,Koenen (Lippstadt ,﻿Koenen (Lippstadt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_072.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
von Spreti,BT_02_072.xml,Graf von Spreti ,von Spreti,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Wolf (Stuttgart),BT_02_073.xml,Wolf (Stuttgart) ,Wolf (Stuttgart),CDU CSU,CDU/CSU,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Troeger,BT_02_076.xml,-,-,-,-,government,federal_council,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Gerstenmaier,BT_02_077.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Geiger (München),BT_02_077.xml,Geiger München) ,Geiger (München),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Stegner,BT_02_077.xml,Stegner ,Stegner,fraktionslos,Fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_078.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_079.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_080.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_081.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_082.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmid,BT_02_083.xml,Schmu,Schmid,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_084.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_085.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Kühn (Bonn),BT_02_085.xml,KUhn (Bonn) ,Kühn (Bonn),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_086.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Feller,BT_02_086.xml,Feller . ,Feller,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Kühn (Köln),BT_02_087.xml,KUhn (Köln) ,Kühn (Köln),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
﻿Weber (Essen),BT_02_087.xml,Weber (Aachen) ,﻿Weber (Essen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_087.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_088.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_089.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_090.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schneider,BT_02_094.xml,Dr. - Schneider,Schneider,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_101.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_102.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_103.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_105.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_106.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_107.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_108.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_109.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Gerstenmaier,BT_02_110.xml,D. Dr. Gerstenmaier,Gerstenmaier,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
